iter	Passed	Remaining
1303	84520	45112
1304	84585	45047
1305	84657	44986
1306	84710	44915
1307	84772	44849
1308	84837	44784
1309	84893	44714
1310	84954	44648
1311	85024	44585
1312	85091	44522
1313	85162	44460
1314	85224	44394
1315	85289	44329
1316	85363	44269
1317	85437	44209
1318	85505	44146
1319	85570	44081
1320	85644	44021
1321	85716	43960
1322	85786	43898
1323	85859	43837
1324	85925	43773
1325	85990	43708
1326	86049	43640
1327	86106	43572
1328	86175	43509
1329	86234	43441
1330	86293	43373
1331	86358	43308
1332	86432	43248
1333	86506	43188
1334	86569	43122
1335	86627	43054
1336	86687	42987
1337	86748	42920
1338	86814	42855
1339	86899	42801
1340	86958	42733
1341	87016	42665
1342	87077	42598
1343	87145	42535
1344	87214	42472
1345	87267	42401
1346	87336	42338
1347	87397	42272
1348	87459	42205
1349	87518	42138
1350	87586	42075
1351	87650	42009
1352	87709	41942
1353	87769	41875
1354	87840	41813
1355	87904	41748
1356	87976	41686
1357	88041	41622
1358	88104	41556
1359	88160	41487
1360	88229	41424
1361	88305	41364
1362	88379	41304
1363	88446	41240
1364	88513	41176
1365	88588	41116
1366	88651	41050
1367	88723	40989
1368	88794	40927
1369	88877	40870
1370	88957	40812
1371	89025	40749
1372	89089	40683
1373	89157	40620
1374	89224	40556
1375	89305	40498
1376	89378	40437
1377	89458	40379
1378	89529	40317
1379	89588	40249
1380	89659	40187
1381	89724	40122
1382	89787	40056
1383	89857	39994
1384	89923	39929
1385	89989	39865
1386	90041	39794
1387	90105	39729
1388	90176	39667
1389	90242	39602
1390	90306	39537
1391	90382	39477
1392	90466	39420
1393	90534	39357
1394	90590	39288
1395	90652	39221
1396	90713	39155
1397	90777	39090
1398	90842	39025
1399	90921	38966
1400	90990	38902
1401	91055	38838
1402	91116	38771
1403	91196	38713
1404	91262	38648
1405	91331	38585
1406	91401	38522
1407	91472	38459
1408	91549	38400
1409	91618	38336
1410	91691	38275
1411	91762	38212
1412	91830	38149
1413	91901	38086
1414	91980	38027
1415	92052	37965
1416	92127	37904
1417	92197	37841
1418	92262	37776
1419	92330	37712
1420	92409	37653
1421	92476	37588
1422	92544	37524
1423	92611	37460
1424	92690	37401
1425	92762	37339
1426	92835	37277
1427	92904	37213
1428	92978	37152
1429	93044	37087
1430	93113	37024
1431	93185	36961
1432	93255	36898
1433	93324	36835
1434	93394	36771
1435	93459	36706
1436	93525	36642
1437	93592	36577
1438	93668	36517
1439	93736	36453
1440	93824	36396
1441	93895	36333
1442	93969	36272
1443	94034	36207
1444	94102	36143
1445	94167	36077
1446	94230	36012
1447	94289	35944
1448	94358	35880
1449	94418	35813
1450	94475	35745
1451	94534	35678
1452	94599	35613
1453	94670	35550
1454	94735	35485
1455	94798	35419
1456	94859	35352
1457	94918	35285
1458	94996	35224
1459	95065	35161
1460	95133	35097
1461	95198	35032
1462	95263	34966
1463	95321	34899
1464	95390	34835
1465	95462	34772
1466	95519	34704
1467	95582	34638
1468	95647	34573
1469	95710	34507
1470	95784	34445
1471	95848	34380
1472	95916	34316
1473	95997	34256
1474	96061	34191
1475	96127	34126
1476	96189	34060
1477	96246	33992
1478	96311	33927
1479	96387	33865
1480	96454	33801
1481	96528	33739
1482	96598	33676
1483	96671	33613
1484	96739	33549
1485	96805	33484
1486	96875	33421
1487	96942	33356
1488	97010	33292
1489	97072	33226
1490	97132	33159
1491	97189	33091
1492	97259	33027
1493	97332	32965
1494	97403	32902
1495	97474	32838
1496	97541	32774
1497	97614	32712
1498	97688	32649
1499	97754	32584
1500	97829	32523
1501	97905	32461
1502	97985	32401
1503	98057	32338
1504	98124	32273
1505	98187	32207
1506	98246	32140
1507	98308	32074
1508	98385	32012
1509	98446	31946
1510	98503	31878
1511	98568	31813
1512	98626	31745
1513	98684	31678
1514	98754	31614
1515	98828	31552
1516	98904	31490
1517	98995	31433
1518	99061	31368
1519	99131	31304
1520	99201	31240
1521	99265	31175
1522	99343	31114
1523	99416	31051
1524	99473	30983
1525	99525	30914
1526	99580	30845
1527	99644	30780
1528	99708	30714
1529	99765	30646
1530	99830	30581
1531	99900	30517
1532	99963	30452
1533	100022	30384
1534	100114	30327
1535	100179	30262
1536	100259	30201
1537	100315	30133
1538	100382	30068
1539	100449	30004
1540	100499	29934
1541	100565	29869
1542	100635	29805
1543	100700	29740
1544	100770	29676
1545	100828	29609
1546	100890	29543
1547	100938	29473
1548	100998	29406
1549	101057	29339
1550	101110	29270
1551	101167	29202
1552	101236	29138
1553	101297	29072
1554	101371	29009
1555	101436	28944
1556	101494	28877
1557	101552	28810
1558	101619	28745
1559	101689	28681
1560	101758	28617
1561	101833	28555
1562	101906	28492
1563	101972	28427
1564	102026	28358
1565	102099	28295
1566	102156	28228
1567	102215	28161
1568	102285	28097
1569	102347	28031
1570	102414	27966
1571	102478	27901
1572	102537	27834
1573	102607	27770
1574	102671	27704
1575	102738	27640
1576	102799	27573
1577	102882	27513
1578	102945	27447
1579	103002	27380
1580	103062	27313
1581	103130	27249
1582	103190	27182
1583	103249	27115
1584	103314	27050
1585	103374	26984
1586	103438	26918
1587	103496	26851
1588	103554	26784
1589	103611	26717
1590	103672	26651
1591	103749	26588
1592	103820	26525
1593	103890	26461
1594	103949	26394
1595	104018	26330
1596	104082	26265
1597	104149	26200
1598	104215	26135
1599	104299	26074
1600	104373	26011
1601	104428	25944
1602	104492	25878
1603	104545	25810
1604	104596	25741
1605	104660	25676
1606	104724	25610
1607	104781	25543
1608	104850	25479
1609	104912	25413
1610	104980	25349
1611	105044	25283
1612	105115	25219
1613	105190	25157
1614	105261	25093
1615	105327	25028
1616	105392	24963
1617	105462	24898
1618	105530	24834
1619	105595	24769
1620	105656	24703
1621	105711	24635
1622	105763	24567
1623	105810	24498
1624	105859	24429
1625	105910	24360
1626	105958	24291
1627	106005	24222
1628	106060	24155
1629	106112	24086
1630	106162	24018
1631	106210	23949
1632	106257	23880
1633	106306	23811
1634	106350	23741
1635	106391	23671
1636	106440	23602
1637	106492	23535
1638	106539	23466
1639	106585	23396
1640	106639	23329
1641	106686	23260
1642	106737	23192
1643	106786	23124
1644	106830	23054
1645	106877	22985
1646	106926	22917
1647	106975	22849
1648	107024	22780
1649	107072	22712
1650	107126	22645
1651	107174	22576
1652	107230	22509
1653	107285	22443
1654	107337	22375
1655	107384	22306
1656	107441	22240
1657	107510	22176
1658	107574	22111
1659	107635	22045
1660	107697	21980
1661	107771	21917
