,blue_fighter,red_fighter,blue_fighter_kd,red_fighter_kd,blue_fighter_sig_str,red_fighter_sig_str,blue_fighter_sig_str_perc,red_fighter_sig_str_perc,blue_fighter_total_str,red_fighter_total_str,blue_fighter_td,red_fighter_td,blue_fighter_td_perc,red_fighter_td_perc,blue_fighter_sub_att,red_fighter_sub_att,blue_fighter_rev,red_fighter_rev,blue_fighter_ctrl,red_fighter_ctrl,blue_fighter_sig_str_head,red_fighter_sig_str_head,blue_fighter_sig_str_body,red_fighter_sig_str_body,blue_fighter_sig_str_leg,red_fighter_sig_str_leg,blue_fighter_sig_str_distance,red_fighter_sig_str_distance,blue_fighter_sig_str_clinch,red_fighter_sig_str_clinch,blue_fighter_sig_str_ground,red_fighter_sig_str_ground
1909,Nick Maximov,Andre Petroski,0,0,4 of 11,1 of 10,36%,10%,4 of 11,1 of 10,0 of 1,0 of 0,0%,---,0,1,0,0,0:00,0:23,2 of 7,0 of 8,2 of 3,0 of 0,0 of 1,1 of 2,4 of 11,1 of 10,0 of 0,0 of 0,0 of 0,0 of 0
1910,Charles Oliveira,Justin Gaethje,1,1,30 of 47,21 of 33,63%,63%,33 of 52,21 of 33,0 of 1,0 of 0,0%,---,2,0,0,0,0:39,0:13,18 of 32,13 of 22,11 of 13,3 of 3,1 of 2,5 of 8,20 of 34,15 of 26,8 of 10,6 of 7,2 of 3,0 of 0
1911,Rose Namajunas,Carla Esparza,0,0,37 of 136,30 of 133,27%,22%,38 of 137,30 of 133,1 of 1,2 of 11,100%,18%,0,0,0,0,0:10,0:22,30 of 122,15 of 108,6 of 12,4 of 11,1 of 2,11 of 14,36 of 135,27 of 128,1 of 1,3 of 5,0 of 0,0 of 0
1912,Michael Chandler,Tony Ferguson,1,0,27 of 53,20 of 50,50%,40%,43 of 73,27 of 58,1 of 1,0 of 0,100%,---,0,0,0,0,2:31,0:00,15 of 39,13 of 38,6 of 8,2 of 7,6 of 6,5 of 5,18 of 38,17 of 42,0 of 0,0 of 0,9 of 15,3 of 8
1913,Mauricio Rua,Ovince Saint Preux,0,0,54 of 99,62 of 112,54%,55%,54 of 99,62 of 112,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:15,18 of 53,18 of 57,11 of 17,36 of 43,25 of 29,8 of 12,54 of 99,62 of 112,0 of 0,0 of 0,0 of 0,0 of 0
1914,Randy Brown,Khaos Williams,0,1,93 of 177,75 of 224,52%,33%,103 of 188,96 of 246,0 of 4,0 of 0,0%,---,0,0,0,0,0:11,4:09,68 of 144,26 of 159,15 of 22,16 of 21,10 of 11,33 of 44,74 of 156,68 of 207,19 of 21,4 of 10,0 of 0,3 of 7
1915,Francisco Trinaldo,Danny Roberts,0,0,80 of 124,36 of 118,64%,30%,91 of 137,44 of 128,0 of 1,0 of 0,0%,---,1,0,0,0,4:21,0:39,62 of 102,15 of 92,16 of 20,12 of 15,2 of 2,9 of 11,51 of 86,27 of 103,21 of 26,8 of 14,8 of 12,1 of 1
1916,Macy Chiasson,Norma Dumont,0,0,32 of 89,38 of 75,35%,50%,131 of 194,96 of 136,6 of 12,0 of 0,50%,---,0,0,0,0,7:34,0:26,14 of 59,27 of 60,8 of 13,8 of 10,10 of 17,3 of 5,27 of 84,28 of 62,5 of 5,10 of 13,0 of 0,0 of 0
1917,Brandon Royval,Matt Schnell,0,1,14 of 39,12 of 33,35%,36%,14 of 39,15 of 36,0 of 0,0 of 0,---,---,1,0,0,0,0:13,0:54,9 of 33,9 of 29,2 of 3,3 of 4,3 of 3,0 of 0,13 of 37,10 of 28,1 of 1,0 of 0,0 of 1,2 of 5
1918,Blagoy Ivanov,Marcos Rogerio de Lima,0,0,62 of 128,68 of 133,48%,51%,75 of 142,81 of 147,0 of 4,1 of 5,0%,20%,0,0,0,0,3:52,2:04,53 of 118,46 of 107,9 of 10,18 of 20,0 of 0,4 of 6,54 of 118,58 of 115,8 of 10,10 of 18,0 of 0,0 of 0
1919,Andre Fialho,Cameron VanCamp,1,0,17 of 24,19 of 31,70%,61%,17 of 24,19 of 31,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,12 of 19,9 of 19,2 of 2,4 of 6,3 of 3,6 of 6,16 of 23,19 of 31,0 of 0,0 of 0,1 of 1,0 of 0
1920,Tracy Cortez,Melissa Gatto,0,0,36 of 66,30 of 73,54%,41%,70 of 102,49 of 95,2 of 3,3 of 6,66%,50%,1,1,1,1,7:54,3:17,25 of 51,25 of 61,6 of 9,3 of 7,5 of 6,2 of 5,14 of 37,27 of 69,2 of 2,0 of 1,20 of 27,3 of 3
1921,Kleydson Rodrigues,CJ Vergara,0,0,81 of 143,71 of 127,56%,55%,93 of 156,155 of 221,2 of 7,0 of 0,28%,---,1,0,2,0,3:14,4:20,39 of 91,42 of 89,32 of 40,18 of 25,10 of 12,11 of 13,70 of 131,45 of 92,6 of 7,7 of 10,5 of 5,19 of 25
