,blue_fighter,red_fighter,blue_fighter_kd,red_fighter_kd,blue_fighter_sig_str,red_fighter_sig_str,blue_fighter_sig_str_perc,red_fighter_sig_str_perc,blue_fighter_total_str,red_fighter_total_str,blue_fighter_td,red_fighter_td,blue_fighter_td_perc,red_fighter_td_perc,blue_fighter_sub_att,red_fighter_sub_att,blue_fighter_rev,red_fighter_rev,blue_fighter_ctrl,red_fighter_ctrl,blue_fighter_sig_str_head,red_fighter_sig_str_head,blue_fighter_sig_str_body,red_fighter_sig_str_body,blue_fighter_sig_str_leg,red_fighter_sig_str_leg,blue_fighter_sig_str_distance,red_fighter_sig_str_distance,blue_fighter_sig_str_clinch,red_fighter_sig_str_clinch,blue_fighter_sig_str_ground,red_fighter_sig_str_ground
959,Jafel Filho,Ode Osbourne,0,0,21 of 35,0 of 5,60%,0%,43 of 66,1 of 6,1 of 1,0 of 0,100%,---,2,0,0,0,3:21,0:04,18 of 31,0 of 4,2 of 2,0 of 1,1 of 2,0 of 0,3 of 7,0 of 5,0 of 0,0 of 0,18 of 28,0 of 0
960,Josh Culibao,Danny Silva,0,0,87 of 202,45 of 107,43%,42%,89 of 205,56 of 119,0 of 4,4 of 9,0%,44%,0,1,0,0,0:03,5:28,59 of 168,28 of 82,20 of 26,11 of 18,8 of 8,6 of 7,86 of 199,44 of 106,1 of 3,1 of 1,0 of 0,0 of 0
961,Jaqueline Amorim,Cory McKenna,0,0,3 of 5,4 of 11,60%,36%,3 of 5,8 of 17,0 of 0,1 of 1,---,100%,4,0,0,0,0:00,0:56,1 of 3,1 of 7,2 of 2,0 of 0,0 of 0,3 of 4,2 of 4,3 of 10,0 of 0,1 of 1,1 of 1,0 of 0
962,Thiago Moises,Mitch Ramirez,1,0,25 of 39,16 of 48,64%,33%,53 of 72,28 of 65,2 of 2,0 of 0,100%,---,1,0,0,0,6:36,0:21,10 of 23,4 of 32,3 of 4,5 of 7,12 of 12,7 of 9,17 of 30,13 of 45,2 of 2,3 of 3,6 of 7,0 of 0
963,Charalampos Grigoriou,Chad Anheliger,0,0,21 of 65,85 of 155,32%,54%,26 of 70,144 of 220,4 of 5,0 of 2,80%,0%,0,0,0,0,5:24,1:34,16 of 53,57 of 122,2 of 7,10 of 13,3 of 5,18 of 20,21 of 64,68 of 137,0 of 0,12 of 12,0 of 1,5 of 6
964,Sean O'Malley,Marlon Vera,0,0,230 of 356,89 of 241,64%,36%,232 of 358,89 of 241,0 of 0,0 of 0,---,---,0,0,0,0,0:03,0:00,150 of 268,41 of 165,61 of 68,14 of 35,19 of 20,34 of 41,227 of 352,85 of 235,3 of 4,4 of 6,0 of 0,0 of 0
965,Dustin Poirier,Benoit Saint Denis,1,0,28 of 34,50 of 74,82%,67%,30 of 37,69 of 97,0 of 1,3 of 7,0%,42%,4,1,0,0,0:31,4:53,24 of 30,25 of 46,3 of 3,18 of 20,1 of 1,7 of 8,23 of 25,17 of 37,4 of 8,31 of 35,1 of 1,2 of 2
966,Kevin Holland,Michael Page,0,0,29 of 61,41 of 62,47%,66%,64 of 99,59 of 81,2 of 5,0 of 3,40%,0%,1,0,0,0,4:22,1:26,11 of 37,28 of 47,4 of 6,8 of 10,14 of 18,5 of 5,18 of 47,38 of 58,4 of 5,2 of 3,7 of 9,1 of 1
967,Gilbert Burns,Jack Della Maddalena,0,1,27 of 58,67 of 123,46%,54%,31 of 63,85 of 146,7 of 11,0 of 1,63%,0%,0,0,0,0,5:07,0:16,16 of 43,54 of 104,8 of 11,9 of 15,3 of 4,4 of 4,23 of 52,47 of 100,3 of 5,4 of 6,1 of 1,16 of 17
968,Petr Yan,Song Yadong,0,0,99 of 183,86 of 172,54%,50%,129 of 217,104 of 192,2 of 5,1 of 8,40%,12%,0,0,0,0,1:47,1:40,68 of 142,71 of 147,22 of 31,9 of 15,9 of 10,6 of 10,86 of 170,79 of 164,4 of 4,5 of 6,9 of 9,2 of 2
969,Curtis Blaydes,Jailton Almeida,0,0,16 of 25,1 of 3,64%,33%,19 of 28,9 of 11,0 of 0,9 of 13,---,69%,0,0,0,0,0:09,4:39,16 of 25,1 of 3,0 of 0,0 of 0,0 of 0,0 of 0,0 of 5,1 of 3,0 of 0,0 of 0,16 of 20,0 of 0
970,Katlyn Cerminara,Maycee Barber,0,0,66 of 152,84 of 150,43%,56%,99 of 186,122 of 189,1 of 6,4 of 4,16%,100%,0,0,0,0,2:52,4:45,44 of 122,59 of 121,21 of 27,18 of 22,1 of 3,7 of 7,43 of 124,44 of 107,23 of 28,36 of 39,0 of 0,4 of 4
971,Mateusz Gamrot,Rafael Dos Anjos,0,1,57 of 102,36 of 78,55%,46%,111 of 163,39 of 82,11 of 19,0 of 0,57%,---,0,0,0,0,7:01,0:11,48 of 90,24 of 61,9 of 12,5 of 9,0 of 0,7 of 8,46 of 88,26 of 67,6 of 8,7 of 8,5 of 6,3 of 3
972,Pedro Munhoz,Kyler Phillips,0,0,52 of 140,114 of 275,37%,41%,52 of 140,115 of 276,1 of 8,0 of 0,12%,---,0,0,0,0,0:24,0:02,23 of 99,74 of 224,17 of 24,17 of 24,12 of 17,23 of 27,48 of 134,111 of 269,3 of 5,2 of 5,1 of 1,1 of 1
973,Ion Cutelaba,Philipe Lins,0,0,47 of 97,67 of 115,48%,58%,119 of 171,73 of 121,0 of 1,2 of 7,0%,28%,0,0,0,0,0:16,5:34,33 of 82,37 of 82,9 of 9,7 of 9,5 of 6,23 of 24,42 of 90,57 of 100,5 of 7,5 of 8,0 of 0,5 of 7
974,Michel Pereira,Michal Oleksiejczuk,0,0,11 of 15,1 of 4,73%,25%,11 of 15,1 of 4,0 of 0,0 of 0,---,---,1,0,0,0,0:18,0:00,5 of 9,0 of 3,6 of 6,1 of 1,0 of 0,0 of 0,9 of 13,1 of 4,2 of 2,0 of 0,0 of 0,0 of 0
975,Robelis Despaigne,Josh Parisian,1,0,7 of 9,2 of 5,77%,40%,7 of 9,2 of 5,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,7 of 9,1 of 4,0 of 0,1 of 1,0 of 0,0 of 0,5 of 7,2 of 5,0 of 0,0 of 0,2 of 2,0 of 0
976,CJ Vergara,Asu Almabayev,0,0,29 of 53,44 of 77,54%,57%,66 of 92,85 of 132,0 of 0,9 of 14,---,64%,0,0,0,0,0:14,9:32,13 of 32,22 of 53,14 of 17,9 of 11,2 of 4,13 of 13,22 of 46,23 of 51,4 of 4,8 of 10,3 of 3,13 of 16
977,Joanne Wood,Maryna Moroz,0,0,136 of 249,102 of 195,54%,52%,173 of 290,156 of 255,1 of 1,1 of 2,100%,50%,0,0,0,0,0:12,6:11,74 of 175,79 of 160,39 of 45,23 of 33,23 of 29,0 of 2,112 of 216,79 of 169,23 of 31,19 of 22,1 of 2,4 of 4
978,Jairzinho Rozenstruik,Shamil Gaziev,0,0,127 of 215,22 of 68,59%,32%,140 of 230,27 of 75,0 of 1,1 of 7,0%,14%,0,0,0,0,0:01,4:32,78 of 158,16 of 59,30 of 37,5 of 8,19 of 20,1 of 1,123 of 209,17 of 60,4 of 6,4 of 6,0 of 0,1 of 2
979,Vitor Petrino,Tyson Pedro,0,0,27 of 75,30 of 60,36%,50%,33 of 82,33 of 64,3 of 5,0 of 2,60%,0%,0,0,0,0,5:24,0:10,16 of 59,3 of 29,4 of 8,11 of 15,7 of 8,16 of 16,25 of 72,29 of 59,0 of 0,1 of 1,2 of 3,0 of 0
980,Alex Perez,Muhammad Mokaev,0,0,30 of 87,47 of 104,34%,45%,47 of 114,56 of 119,0 of 0,3 of 20,---,15%,0,0,0,0,3:44,4:29,22 of 73,34 of 85,3 of 5,9 of 12,5 of 9,4 of 7,19 of 74,31 of 81,2 of 3,3 of 3,9 of 10,13 of 20
981,Umar Nurmagomedov,Bekzat Almakhan,0,1,68 of 98,3 of 16,69%,18%,145 of 197,5 of 25,5 of 5,0 of 0,100%,---,0,0,0,0,11:26,0:34,64 of 94,1 of 13,0 of 0,2 of 3,4 of 4,0 of 0,7 of 13,3 of 16,0 of 0,0 of 0,61 of 85,0 of 0
982,Matt Schnell,Steve Erceg,0,1,22 of 78,34 of 72,28%,47%,25 of 84,34 of 72,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:05,18 of 70,24 of 60,1 of 5,9 of 11,3 of 3,1 of 1,21 of 74,30 of 67,1 of 4,4 of 5,0 of 0,0 of 0
983,Eryk Anders,Jamie Pickett,0,1,23 of 59,20 of 55,38%,36%,83 of 147,26 of 64,5 of 13,0 of 0,38%,---,0,0,0,0,10:08,0:16,14 of 48,11 of 45,7 of 9,8 of 9,2 of 2,1 of 1,12 of 38,12 of 46,7 of 9,8 of 8,4 of 12,0 of 1
984,Vinicius Oliveira,Benardo Sopaj,1,0,67 of 144,45 of 86,46%,52%,88 of 170,92 of 146,2 of 4,3 of 4,50%,75%,0,0,0,0,1:37,4:28,39 of 91,42 of 81,11 of 20,1 of 3,17 of 33,2 of 2,49 of 112,21 of 55,3 of 13,0 of 2,15 of 19,24 of 29
985,Aiemann Zahabi,Javid Basharat,0,0,75 of 174,67 of 205,43%,32%,77 of 176,67 of 205,0 of 0,0 of 4,---,0%,0,0,0,0,0:13,0:00,51 of 130,33 of 147,16 of 26,27 of 44,8 of 18,7 of 14,74 of 172,67 of 203,1 of 2,0 of 2,0 of 0,0 of 0
986,Christian Leroy Duncan,Claudio Ribeiro,0,0,65 of 92,4 of 26,70%,15%,75 of 105,13 of 39,1 of 2,0 of 0,50%,---,0,0,0,0,2:15,1:03,39 of 62,1 of 19,8 of 10,1 of 3,18 of 20,2 of 4,31 of 50,4 of 24,12 of 15,0 of 2,22 of 27,0 of 0
987,Ludovit Klein,AJ Cunningham,1,0,60 of 91,36 of 75,65%,48%,63 of 95,36 of 77,2 of 3,0 of 0,66%,---,0,0,0,0,0:27,0:26,38 of 66,15 of 49,21 of 23,10 of 14,1 of 2,11 of 12,54 of 84,34 of 72,2 of 2,2 of 3,4 of 5,0 of 0
988,Abdul-Kareem Al-Selwady,Loik Radzhabov,0,1,38 of 68,39 of 90,55%,43%,50 of 84,57 of 115,3 of 7,4 of 5,42%,80%,0,0,0,0,2:44,1:27,15 of 34,33 of 72,8 of 11,6 of 15,15 of 23,0 of 3,34 of 61,18 of 63,4 of 7,2 of 2,0 of 0,19 of 25
989,Brandon Moreno,Brandon Royval,0,0,112 of 211,145 of 510,53%,28%,119 of 219,177 of 556,3 of 5,1 of 2,60%,50%,0,0,0,0,2:54,0:35,48 of 127,97 of 437,37 of 51,38 of 54,27 of 33,10 of 19,103 of 191,142 of 504,7 of 17,3 of 6,2 of 3,0 of 0
990,Yair Rodriguez,Brian Ortega,1,0,55 of 115,28 of 73,47%,38%,64 of 135,47 of 104,0 of 1,3 of 6,0%,50%,0,1,0,0,1:32,5:21,36 of 91,26 of 69,11 of 15,2 of 4,8 of 9,0 of 0,34 of 86,13 of 50,9 of 12,2 of 3,12 of 17,13 of 20
991,Daniel Zellhuber,Francisco Prado,0,0,120 of 272,90 of 246,44%,36%,120 of 272,91 of 249,0 of 0,0 of 0,---,---,0,0,0,0,0:05,0:25,87 of 228,30 of 155,25 of 36,26 of 47,8 of 8,34 of 44,117 of 268,88 of 244,3 of 4,2 of 2,0 of 0,0 of 0
992,Yazmin Jauregui,Sam Hughes,0,0,94 of 269,83 of 197,34%,42%,97 of 272,88 of 206,0 of 0,0 of 6,---,0%,0,0,0,0,0:00,0:17,52 of 197,40 of 143,24 of 42,17 of 24,18 of 30,26 of 30,84 of 253,80 of 190,10 of 16,3 of 7,0 of 0,0 of 0
993,Manuel Torres,Chris Duncan,0,0,3 of 5,1 of 2,60%,50%,5 of 7,1 of 2,2 of 2,1 of 3,100%,33%,1,0,0,0,0:42,0:40,2 of 4,1 of 2,1 of 1,0 of 0,0 of 0,0 of 0,0 of 2,1 of 2,2 of 2,0 of 0,1 of 1,0 of 0
994,Cristian Quinonez,Raoni Barcelos,0,0,29 of 82,43 of 74,35%,58%,43 of 99,48 of 81,2 of 7,2 of 12,28%,16%,0,2,0,0,3:13,1:02,17 of 67,26 of 54,3 of 6,5 of 7,9 of 9,12 of 13,26 of 75,38 of 68,3 of 7,4 of 5,0 of 0,1 of 1
995,Jesus Aguilar,Mateus Mendonca,0,0,19 of 36,18 of 40,52%,45%,38 of 62,43 of 90,1 of 4,4 of 8,25%,50%,1,1,1,0,4:51,8:44,10 of 24,15 of 35,4 of 4,3 of 4,5 of 8,0 of 1,11 of 21,7 of 21,4 of 5,2 of 2,4 of 10,9 of 17
996,Edgar Chairez,Daniel Lacerda,0,0,9 of 15,4 of 17,60%,23%,9 of 15,7 of 22,0 of 0,1 of 1,---,100%,1,0,0,0,0:00,0:41,3 of 7,2 of 9,2 of 4,2 of 7,4 of 4,0 of 1,8 of 14,2 of 12,0 of 0,0 of 0,1 of 1,2 of 5
997,Claudio Puelles,Fares Ziam,0,0,4 of 9,31 of 48,44%,64%,17 of 27,58 of 82,7 of 13,0 of 0,53%,---,0,1,0,2,7:14,4:30,1 of 5,23 of 38,3 of 4,6 of 7,0 of 0,2 of 3,3 of 8,5 of 15,1 of 1,2 of 3,0 of 0,24 of 30
998,Ronaldo Rodriguez,Denys Bondar,0,0,31 of 69,41 of 63,44%,65%,50 of 93,46 of 77,0 of 0,4 of 6,---,66%,1,0,3,1,2:56,2:52,19 of 55,22 of 39,7 of 9,8 of 13,5 of 5,11 of 11,13 of 43,32 of 51,5 of 7,3 of 4,13 of 19,6 of 8
999,Victor Altamirano,Felipe dos Santos,0,0,40 of 74,37 of 87,54%,42%,52 of 97,62 of 120,9 of 11,0 of 0,81%,---,0,1,0,0,5:02,0:51,7 of 33,24 of 66,23 of 31,8 of 16,10 of 10,5 of 5,29 of 62,31 of 73,10 of 10,5 of 11,1 of 2,1 of 3
1000,Erik Silva,Muhammad Naimov,0,0,0 of 1,1 of 2,0%,50%,0 of 1,3 of 4,0 of 0,1 of 1,---,100%,0,0,0,0,0:13,0:11,0 of 0,1 of 2,0 of 0,0 of 0,0 of 1,0 of 0,0 of 1,1 of 2,0 of 0,0 of 0,0 of 0,0 of 0
1001,Alexander Volkanovski,Ilia Topuria,0,1,47 of 107,35 of 77,43%,45%,47 of 107,36 of 78,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:03,21 of 68,17 of 53,11 of 22,12 of 16,15 of 17,6 of 8,44 of 102,28 of 70,3 of 5,4 of 4,0 of 0,3 of 3
1002,Robert Whittaker,Paulo Costa,0,0,95 of 175,67 of 151,54%,44%,95 of 175,67 of 151,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:00,63 of 143,39 of 117,4 of 4,8 of 12,28 of 28,20 of 22,95 of 172,67 of 151,0 of 3,0 of 0,0 of 0,0 of 0
1003,Geoff Neal,Ian Machado Garry,0,0,46 of 89,67 of 135,51%,49%,57 of 102,80 of 148,0 of 0,0 of 0,---,---,0,0,0,0,3:45,0:12,25 of 64,39 of 96,10 of 13,18 of 27,11 of 12,10 of 12,38 of 79,65 of 133,8 of 10,2 of 2,0 of 0,0 of 0
1004,Merab Dvalishvili,Henry Cejudo,0,0,74 of 172,29 of 78,43%,37%,167 of 273,54 of 106,5 of 11,1 of 7,45%,14%,1,0,0,0,4:23,2:05,44 of 128,13 of 54,20 of 34,5 of 11,10 of 10,11 of 13,51 of 134,24 of 68,13 of 24,5 of 10,10 of 14,0 of 0
1005,Anthony Hernandez,Roman Kopylov,0,0,34 of 77,35 of 57,44%,61%,39 of 82,41 of 63,3 of 14,0 of 0,21%,---,2,0,0,0,4:05,0:00,28 of 68,21 of 43,4 of 6,8 of 8,2 of 3,6 of 6,24 of 65,34 of 56,8 of 10,1 of 1,2 of 2,0 of 0
1006,Amanda Lemos,Mackenzie Dern,1,0,41 of 80,21 of 54,51%,38%,47 of 86,50 of 85,2 of 2,1 of 3,100%,33%,0,0,0,2,4:02,6:00,26 of 62,21 of 51,8 of 10,0 of 2,7 of 8,0 of 1,24 of 56,13 of 42,1 of 2,0 of 1,16 of 22,8 of 11
1007,Marcos Rogerio de Lima,Junior Tafa,1,0,33 of 46,11 of 27,71%,40%,63 of 78,17 of 33,1 of 3,0 of 0,33%,---,0,0,0,0,3:26,0:00,19 of 31,9 of 24,2 of 2,1 of 2,12 of 13,1 of 1,22 of 32,10 of 26,1 of 1,0 of 0,10 of 13,1 of 1
1008,Rinya Nakamura,Carlos Vera,0,0,38 of 70,12 of 25,54%,48%,73 of 114,55 of 79,3 of 3,0 of 0,100%,---,0,0,0,0,13:03,0:00,30 of 61,7 of 19,6 of 7,1 of 2,2 of 2,4 of 4,7 of 9,6 of 15,1 of 1,1 of 2,30 of 60,5 of 8
1009,Zhang Mingyang,Brendson Ribeiro,1,0,17 of 28,14 of 31,60%,45%,17 of 28,14 of 31,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,13 of 19,14 of 31,2 of 5,0 of 0,2 of 4,0 of 0,14 of 25,14 of 31,0 of 0,0 of 0,3 of 3,0 of 0
1010,Josh Quinlan,Danny Barlow,0,1,39 of 90,95 of 185,43%,51%,39 of 90,96 of 186,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:13,22 of 68,77 of 161,14 of 18,13 of 18,3 of 4,5 of 6,39 of 90,88 of 175,0 of 0,1 of 2,0 of 0,6 of 8
1011,Oban Elliott,Val Woodburn,0,1,70 of 111,23 of 61,63%,37%,136 of 188,30 of 70,3 of 5,2 of 2,60%,100%,0,0,0,1,8:58,1:56,60 of 96,19 of 55,7 of 11,2 of 4,3 of 4,2 of 2,33 of 65,15 of 46,3 of 3,5 of 10,34 of 43,3 of 5
1012,Andrea Lee,Miranda Maverick,0,0,36 of 102,66 of 136,35%,48%,59 of 126,106 of 180,2 of 3,3 of 8,66%,37%,1,0,0,0,0:42,3:05,14 of 72,28 of 89,13 of 19,16 of 25,9 of 11,22 of 22,32 of 96,60 of 128,3 of 3,6 of 8,1 of 3,0 of 0
1013,Jack Hermansson,Joe Pyfer,0,0,121 of 235,92 of 250,51%,36%,188 of 327,95 of 254,1 of 2,0 of 6,50%,0%,0,0,0,0,3:08,0:50,74 of 174,56 of 196,15 of 23,25 of 34,32 of 38,11 of 20,111 of 219,92 of 250,5 of 6,0 of 0,5 of 10,0 of 0
1014,Dan Ige,Andre Fili,1,0,11 of 19,8 of 33,57%,24%,11 of 19,8 of 33,0 of 0,0 of 0,---,---,0,0,0,0,0:01,0:00,4 of 11,7 of 28,2 of 3,1 of 5,5 of 5,0 of 0,10 of 18,8 of 33,0 of 0,0 of 0,1 of 1,0 of 0
1015,Robert Bryczek,Ihor Potieria,0,1,32 of 133,67 of 168,24%,39%,41 of 143,77 of 181,0 of 0,0 of 4,---,0%,0,0,0,0,0:30,2:37,19 of 103,47 of 139,10 of 24,5 of 12,3 of 6,15 of 17,30 of 127,61 of 156,2 of 6,6 of 12,0 of 0,0 of 0
1016,Brad Tavares,Gregory Rodrigues,0,0,37 of 84,71 of 123,44%,57%,42 of 90,79 of 135,0 of 0,2 of 6,---,33%,0,0,0,0,0:00,3:18,28 of 70,53 of 102,4 of 9,8 of 9,5 of 5,10 of 12,36 of 83,64 of 114,1 of 1,7 of 9,0 of 0,0 of 0
1017,Michael Johnson,Darrius Flowers,0,0,61 of 112,33 of 64,54%,51%,80 of 138,52 of 86,4 of 8,0 of 2,50%,0%,0,0,0,0,6:02,0:43,16 of 47,10 of 31,36 of 52,9 of 12,9 of 13,14 of 21,58 of 109,29 of 60,0 of 0,1 of 1,3 of 3,3 of 3
1018,Rodolfo Vieira,Armen Petrosyan,0,0,6 of 11,9 of 20,54%,45%,14 of 21,14 of 25,3 of 3,0 of 0,100%,---,1,0,0,0,2:46,0:00,4 of 6,1 of 10,0 of 2,1 of 3,2 of 3,7 of 7,6 of 11,9 of 20,0 of 0,0 of 0,0 of 0,0 of 0
1019,Trevin Giles,Carlos Prates,0,1,68 of 102,37 of 72,66%,51%,70 of 105,38 of 73,0 of 2,0 of 0,0%,---,0,0,0,0,1:28,0:01,25 of 51,3 of 24,2 of 2,18 of 26,41 of 49,16 of 22,67 of 100,37 of 72,1 of 2,0 of 0,0 of 0,0 of 0
1020,Bolaji Oki,Timmy Cuamba,0,0,60 of 152,33 of 94,39%,35%,61 of 157,35 of 96,1 of 1,1 of 6,100%,16%,0,0,0,0,1:49,1:55,51 of 139,20 of 67,5 of 8,8 of 14,4 of 5,5 of 13,58 of 145,26 of 86,1 of 4,5 of 6,1 of 3,2 of 2
1021,Loma Lookboonmee,Bruna Brasil,0,0,58 of 112,28 of 63,51%,44%,73 of 131,52 of 99,1 of 2,1 of 2,50%,50%,0,0,0,0,0:55,2:29,15 of 52,9 of 39,29 of 38,12 of 16,14 of 22,7 of 8,47 of 98,22 of 55,11 of 14,6 of 8,0 of 0,0 of 0
1022,Devin Clark,Marcin Prachnio,0,0,53 of 127,101 of 189,41%,53%,53 of 127,112 of 204,0 of 2,1 of 1,0%,100%,0,0,0,0,0:14,0:44,36 of 106,42 of 113,13 of 16,37 of 51,4 of 5,22 of 25,49 of 120,78 of 156,4 of 7,23 of 33,0 of 0,0 of 0
1023,Max Griffin,Jeremiah Wells,0,0,26 of 53,32 of 86,49%,37%,36 of 65,43 of 97,1 of 2,1 of 2,50%,50%,0,0,0,0,1:40,1:40,21 of 48,27 of 76,4 of 4,5 of 7,1 of 1,0 of 3,24 of 51,32 of 85,2 of 2,0 of 1,0 of 0,0 of 0
1024,Zac Pauga,Bogdan Guskov,0,1,17 of 26,10 of 29,65%,34%,19 of 28,25 of 44,0 of 2,0 of 0,0%,---,0,0,0,0,1:04,0:04,7 of 13,10 of 29,2 of 5,0 of 0,8 of 8,0 of 0,14 of 22,10 of 29,3 of 4,0 of 0,0 of 0,0 of 0
1025,Fernie Garcia,Hyder Amil,0,1,26 of 79,79 of 144,32%,54%,31 of 87,109 of 194,0 of 0,1 of 3,---,33%,0,2,1,1,0:56,2:20,22 of 75,60 of 121,3 of 3,14 of 17,1 of 1,5 of 6,25 of 78,58 of 109,1 of 1,3 of 9,0 of 0,18 of 26
1026,Daniel Marcos,Aoriqileng,0,0,81 of 126,45 of 95,64%,47%,84 of 129,45 of 96,0 of 0,0 of 0,---,---,0,0,0,0,0:28,0:38,50 of 84,26 of 71,12 of 19,10 of 12,19 of 23,9 of 12,69 of 113,43 of 93,5 of 6,2 of 2,7 of 7,0 of 0
1027,Roman Dolidze,Nassourdine Imavov,0,1,34 of 152,112 of 189,22%,59%,59 of 190,154 of 248,0 of 4,0 of 0,0%,---,0,1,1,0,10:11,3:52,14 of 113,71 of 132,8 of 13,24 of 38,12 of 26,17 of 19,32 of 145,67 of 129,2 of 7,13 of 16,0 of 0,32 of 44
1028,Renato Moicano,Drew Dober,0,0,23 of 42,23 of 59,54%,38%,142 of 177,36 of 73,3 of 6,1 of 2,50%,50%,0,0,0,0,10:33,1:02,20 of 39,17 of 50,2 of 2,4 of 7,1 of 1,2 of 2,10 of 27,19 of 52,1 of 2,1 of 1,12 of 13,3 of 6
1029,Randy Brown,Muslim Salikhov,1,0,13 of 46,10 of 22,28%,45%,13 of 46,10 of 22,0 of 0,0 of 0,---,---,0,0,0,0,0:03,0:00,6 of 33,0 of 9,1 of 5,1 of 2,6 of 8,9 of 11,12 of 45,10 of 22,0 of 0,0 of 0,1 of 1,0 of 0
1030,Viviane Araujo,Natalia Silva,0,0,26 of 67,38 of 128,38%,29%,63 of 110,65 of 157,1 of 9,0 of 1,11%,0%,0,0,0,0,6:01,0:00,20 of 58,24 of 103,1 of 3,8 of 16,5 of 6,6 of 9,25 of 66,38 of 128,1 of 1,0 of 0,0 of 0,0 of 0
1031,Aliaskhab Khizriev,Makhmud Muradov,0,0,1 of 2,1 of 1,50%,100%,1 of 2,1 of 1,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,0 of 1,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0,1 of 2,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0
1032,Gilbert Urbina,Charles Radtke,0,2,16 of 38,30 of 47,42%,63%,16 of 38,33 of 51,0 of 1,0 of 0,0%,---,0,0,0,0,0:05,0:08,4 of 17,23 of 40,6 of 10,0 of 0,6 of 11,7 of 7,16 of 38,27 of 43,0 of 0,0 of 0,0 of 0,3 of 4
1033,Molly McCann,Diana Belbita,0,0,42 of 91,29 of 77,46%,37%,43 of 92,29 of 77,2 of 2,0 of 0,100%,---,1,0,0,0,1:08,0:00,27 of 71,9 of 46,14 of 19,13 of 23,1 of 1,7 of 8,34 of 76,24 of 72,2 of 4,5 of 5,6 of 11,0 of 0
1034,Azat Maksum,Charles Johnson,1,0,38 of 163,76 of 140,23%,54%,40 of 166,81 of 149,2 of 7,2 of 6,28%,33%,1,3,1,0,2:29,0:47,25 of 142,29 of 76,6 of 11,20 of 27,7 of 10,27 of 37,36 of 160,66 of 127,2 of 3,7 of 9,0 of 0,3 of 4
1035,Themba Gorimbo,Pete Rodriguez,1,0,12 of 18,0 of 5,66%,0%,12 of 18,0 of 5,0 of 1,0 of 0,0%,---,0,0,0,0,0:05,0:00,10 of 16,0 of 3,1 of 1,0 of 1,1 of 1,0 of 1,3 of 6,0 of 5,2 of 2,0 of 0,7 of 10,0 of 0
1036,JeongYeong Lee,Blake Bilder,0,0,49 of 82,19 of 54,59%,35%,75 of 121,36 of 77,2 of 3,0 of 3,66%,0%,0,0,0,0,4:29,5:18,33 of 62,3 of 27,14 of 18,2 of 5,2 of 2,14 of 22,21 of 40,8 of 40,11 of 11,10 of 13,17 of 31,1 of 1
1037,Luana Carolina,Julija Stoliarenko,0,0,66 of 136,16 of 59,48%,27%,138 of 230,21 of 68,2 of 3,1 of 5,66%,20%,0,3,0,0,5:27,3:47,41 of 96,7 of 40,15 of 26,6 of 10,10 of 14,3 of 9,28 of 75,11 of 51,13 of 20,5 of 8,25 of 41,0 of 0
1038,Landon Quinones,MarQuel Mederos,0,0,55 of 149,60 of 146,36%,41%,78 of 176,74 of 165,1 of 3,0 of 5,33%,0%,0,0,0,0,2:04,4:13,41 of 115,28 of 103,11 of 26,18 of 26,3 of 8,14 of 17,54 of 145,55 of 141,1 of 4,5 of 5,0 of 0,0 of 0
1039,Thomas Petersen,Jamal Pogues,0,0,58 of 86,65 of 124,67%,52%,116 of 153,66 of 125,1 of 6,0 of 0,16%,---,0,0,0,0,2:47,0:04,26 of 50,43 of 94,30 of 34,15 of 23,2 of 2,7 of 7,54 of 81,56 of 111,4 of 5,9 of 13,0 of 0,0 of 0
1040,Sean Strickland,Dricus Du Plessis,0,0,173 of 408,137 of 354,42%,38%,183 of 419,140 of 358,0 of 0,6 of 11,---,54%,0,0,0,0,0:00,2:08,157 of 387,81 of 283,10 of 15,32 of 37,6 of 6,24 of 34,173 of 408,134 of 348,0 of 0,3 of 5,0 of 0,0 of 1
1041,Raquel Pennington,Mayra Bueno Silva,0,0,134 of 201,69 of 88,66%,78%,265 of 342,96 of 118,1 of 3,3 of 9,33%,33%,2,3,2,0,11:28,8:58,91 of 156,32 of 44,32 of 34,26 of 30,11 of 11,11 of 14,54 of 110,28 of 45,38 of 43,38 of 40,42 of 48,3 of 3
1042,Neil Magny,Mike Malott,0,0,57 of 102,45 of 67,55%,67%,110 of 159,100 of 128,1 of 2,4 of 6,50%,66%,0,0,0,0,1:47,6:02,52 of 95,19 of 40,3 of 3,4 of 4,2 of 4,22 of 23,13 of 44,30 of 49,0 of 2,0 of 0,44 of 56,15 of 18
